transaction_id,merchant_id,amount,payment_method,channel,region,account_age_days,device_age_days,velocity_1h,velocity_24h,distance_km,ip_risk,failed_attempts_24h,chargeback_history,new_device,new_account,night_txn,fraud
TXN0000044,M0147,75.24,upi,web,IN-DL,1163,136,2,4,22.2,0.2701,0,0,0,0,0,0
TXN0000045,M0180,50.46,upi,web,IN-TN,232,1111,2,5,95.0,0.1585,1,0,0,0,1,0
TXN0000046,M0311,377.24,wallet,web,IN-UP,897,824,4,11,31.7,0.5891,1,0,0,0,0,1
TXN0000047,M0186,33.42,card,android,IN-UP,323,570,1,12,141.7,0.4411,3,0,0,0,1,0
TXN0000048,M0151,615.42,card,api,IN-KA,996,691,3,9,109.9,0.1425,2,0,0,0,0,1
TXN0000049,M0246,64.52,netbanking,web,IN-WB,86,700,2,11,68.6,0.1301,3,0,0,0,0,0
TXN0000050,M0201,195.02,card,web,IN-DL,940,1013,3,8,60.2,0.5694,0,1,0,0,0,0
TXN0000051,M0363,66.58,upi,android,IN-KA,775,1021,1,7,60.2,0.0959,0,0,0,0,0,0
TXN0000052,M0320,182.35,card,ios,IN-GJ,228,1075,2,6,64.0,0.4932,3,0,0,0,1,0
TXN0000053,M0020,106.91,upi,ios,IN-DL,1327,1468,3,8,20.9,0.3586,1,0,0,0,0,0
TXN0000054,M0294,67.39,card,web,IN-MH,1506,1119,1,9,37.1,0.3774,1,0,0,0,0,0
TXN0000055,M0078,36.21,card,ios,IN-GJ,1002,855,4,6,50.4,0.3224,2,0,0,0,0,0
TXN0000056,M0163,104.81,card,web,IN-MH,937,382,2,8,300.0,0.1738,0,0,0,0,0,0
TXN0000057,M0296,289.46,upi,web,IN-WB,642,824,0,9,25.1,0.2924,2,0,0,0,0,0
TXN0000058,M0120,353.3,card,android,IN-GJ,496,264,1,7,57.9,0.2719,2,0,0,0,0,0
TXN0000059,M0389,87.74,wallet,web,IN-MH,22,1489,1,8,70.6,0.265,0,0,0,0,0,0
TXN0000060,M0251,87.95,wallet,android,IN-WB,863,891,2,8,138.5,0.5593,3,0,0,0,1,0
TXN0000061,M0302,151.2,upi,web,IN-TN,916,979,3,8,151.6,0.0905,0,0,0,0,1,0
TXN0000062,M0125,180.25,netbanking,web,IN-UP,57,843,0,4,36.0,0.4936,1,0,0,0,0,0
TXN0000063,M0314,179.41,upi,api,IN-WB,590,1492,4,12,96.7,0.4139,1,0,0,0,0,0
TXN0000064,M0351,116.64,card,ios,IN-KA,1010,959,2,5,79.8,0.1772,1,0,0,0,0,1
TXN0000065,M0088,124.89,upi,android,IN-GJ,430,1454,6,8,92.6,0.2705,2,0,0,0,0,1
TXN0000066,M0352,135.06,wallet,web,IN-GJ,1067,1191,1,3,117.2,0.1512,0,0,0,0,0,0
TXN0000067,M0313,16.08,wallet,android,IN-UP,813,789,1,5,51.0,0.432,1,0,0,0,0,0
TXN0000068,M0108,119.98,card,android,IN-UP,1673,252,3,8,18.6,0.2501,0,0,0,0,0,0
TXN0000069,M0241,393.5,card,api,IN-UP,306,954,3,12,33.1,0.4748,3,0,0,0,1,1
TXN0000070,M0013,725.02,card,android,IN-DL,67,186,3,10,58.0,0.3768,2,0,0,0,0,0
TXN0000071,M0059,583.7,upi,android,IN-KA,579,375,1,12,130.9,0.3026,3,0,0,0,0,1
TXN0000072,M0103,196.97,upi,android,IN-KA,1440,931,1,5,76.3,0.0766,0,0,0,0,0,0
TXN0000073,M0187,54.82,card,web,IN-KA,1667,557,2,7,17.6,0.212,0,0,0,0,1,0
TXN0000074,M0244,104.09,card,api,IN-UP,1133,584,4,6,90.9,0.5111,6,0,0,0,0,0
TXN0000075,M0045,84.03,wallet,web,IN-DL,1099,622,6,17,10.9,0.377,1,0,0,0,1,0
TXN0000076,M0150,43.99,card,web,IN-KA,1303,862,2,11,97.2,0.282,3,0,0,0,0,0
TXN0000077,M0187,70.17,upi,web,IN-WB,1781,591,2,9,49.2,0.2239,3,0,0,0,0,0
TXN0000078,M0284,86.84,upi,api,IN-DL,1696,736,1,6,73.5,0.3039,1,0,0,0,1,0
TXN0000079,M0045,44.62,card,android,IN-WB,1130,1077,2,9,35.3,0.5037,1,0,0,0,0,1
TXN0000080,M0197,457.48,netbanking,android,IN-MH,633,359,4,6,69.4,0.4418,1,0,0,0,0,0
TXN0000081,M0057,330.97,card,ios,IN-TN,175,1450,3,11,49.9,0.2182,2,0,0,0,0,0
TXN0000082,M0386,171.36,upi,api,IN-TN,300,727,3,5,59.7,0.616,4,0,0,0,0,0
TXN0000083,M0092,263.66,card,android,IN-MH,1198,781,0,3,47.0,0.2217,2,0,0,0,0,0
TXN0000084,M0264,244.41,netbanking,ios,IN-TN,128,32,3,8,117.4,0.4143,3,1,0,0,0,1
TXN0000085,M0235,86.44,card,ios,IN-KA,1558,1128,2,6,191.6,0.2396,0,0,0,0,0,0
TXN0000086,M0242,1087.76,card,api,IN-DL,860,784,4,7,87.4,0.2171,2,1,0,0,1,1
TXN0000087,M0287,83.46,netbanking,web,IN-WB,1642,1023,2,12,161.8,0.588,3,0,0,0,1,0
TXN0000088,M0200,33.95,wallet,android,IN-UP,1550,1072,3,5,59.8,0.2911,1,0,0,0,0,0
TXN0000089,M0348,211.51,card,android,IN-KA,998,408,0,5,48.7,0.215,0,1,0,0,1,1
TXN0000090,M0066,316.47,upi,ios,IN-GJ,770,166,2,7,57.2,0.3512,2,0,0,0,0,0
TXN0000091,M0225,133.1,upi,web,IN-DL,217,1161,0,6,78.5,0.4987,1,0,0,0,0,0
TXN0000092,M0012,624.93,wallet,web,IN-GJ,1734,220,2,9,176.7,0.2358,3,0,0,0,0,0
TXN0000093,M0142,215.63,upi,web,IN-WB,1157,1128,0,5,201.1,0.1047,0,0,0,0,1,0
TXN0000094,M0350,79.23,upi,web,IN-UP,749,663,3,13,90.9,0.2587,1,1,0,0,0,1
TXN0000095,M0172,99.4,upi,web,IN-WB,258,396,3,12,37.0,0.5827,2,1,0,0,1,0
TXN0000096,M0150,208.84,card,web,IN-DL,1539,1262,2,7,56.0,0.1305,0,0,0,0,1,0
TXN0000097,M0341,195.09,upi,web,IN-TN,101,1183,3,10,70.2,0.1614,1,0,0,0,1,0
TXN0000098,M0148,605.7,upi,android,IN-KA,1203,1059,0,11,110.6,0.3941,1,0,0,0,0,0
TXN0000099,M0072,414.78,upi,android,IN-TN,381,501,3,11,56.8,0.2433,1,0,0,0,0,0
TXN0000100,M0283,37.54,wallet,api,IN-DL,1138,723,5,10,19.0,0.2845,1,0,0,0,0,0
TXN0000101,M0278,152.05,card,api,IN-WB,175,838,0,5,36.8,0.2081,2,0,0,0,0,0
TXN0000102,M0317,51.94,upi,web,IN-DL,1446,1319,3,8,122.4,0.3076,1,0,0,0,0,0
TXN0000103,M0164,773.98,netbanking,web,IN-TN,802,1252,4,13,62.9,0.2976,0,0,0,0,1,1
TXN0000104,M0355,68.0,upi,api,IN-MH,781,388,3,12,174.7,0.5174,1,0,0,0,0,0
TXN0000105,M0337,220.31,card,web,IN-GJ,1699,177,4,9,137.0,0.3194,2,0,0,0,0,0
TXN0000106,M0005,89.58,card,api,IN-KA,333,1342,2,7,67.8,0.1647,3,0,0,0,0,0
TXN0000107,M0286,24.89,netbanking,web,IN-DL,1189,452,2,4,8.0,0.4707,3,0,0,0,1,0
TXN0000108,M0331,51.3,netbanking,web,IN-DL,1025,201,2,8,165.6,0.3699,2,1,0,0,0,0
TXN0000109,M0305,140.27,card,ios,IN-MH,1250,1122,3,6,128.8,0.148,2,0,0,0,0,0
TXN0000110,M0189,317.83,upi,ios,IN-KA,1179,924,1,5,111.7,0.358,0,0,0,0,1,1
TXN0000111,M0101,306.11,netbanking,web,IN-UP,1446,1311,3,8,55.7,0.4163,1,1,0,0,0,1
TXN0000112,M0120,47.57,upi,android,IN-KA,635,46,3,11,60.6,0.3497,2,0,0,0,0,1
TXN0000113,M0051,246.23,netbanking,web,IN-MH,431,1331,3,11,8.3,0.3148,1,0,0,0,0,0
TXN0000114,M0331,465.33,card,ios,IN-UP,1221,1116,3,5,21.6,0.2398,0,0,0,0,0,1
TXN0000115,M0264,300.56,card,android,IN-DL,1030,980,1,9,70.2,0.2984,0,0,0,0,0,0
TXN0000116,M0225,125.37,upi,android,IN-MH,1642,539,2,5,56.2,0.4482,1,0,0,0,0,0
TXN0000117,M0131,188.87,upi,web,IN-GJ,1283,523,0,4,57.6,0.1429,1,0,0,0,0,0
TXN0000118,M0007,209.64,upi,web,IN-UP,427,814,1,7,84.3,0.2341,1,0,0,0,0,0
TXN0000119,M0137,727.77,upi,web,IN-UP,547,974,3,10,46.3,0.1937,1,0,0,0,0,0
TXN0000120,M0033,986.62,upi,android,IN-GJ,1245,1034,1,7,91.2,0.4087,1,0,0,0,0,0
TXN0000121,M0311,343.04,upi,web,IN-WB,698,235,3,10,59.4,0.3218,2,0,0,0,0,0
TXN0000122,M0348,189.88,card,web,IN-UP,1664,730,1,7,65.0,0.3117,2,0,0,0,0,0
TXN0000123,M0138,174.49,upi,web,IN-MH,1262,252,2,11,78.2,0.4977,0,0,0,0,1,0
TXN0000124,M0149,193.56,upi,web,IN-MH,668,746,3,9,49.3,0.2398,2,0,0,0,0,0
TXN0000125,M0250,221.04,netbanking,web,IN-GJ,1455,370,2,8,25.8,0.3993,1,0,0,0,0,0
TXN0000126,M0021,107.42,upi,ios,IN-GJ,1250,1070,1,10,33.8,0.3025,2,0,0,0,0,0
TXN0000127,M0132,1288.31,netbanking,api,IN-WB,651,426,3,9,160.9,0.4222,5,0,0,0,0,0
TXN0000128,M0010,81.53,card,android,IN-DL,764,43,4,13,65.9,0.46,1,0,0,0,0,0
TXN0000129,M0258,657.54,upi,android,IN-TN,1126,502,3,6,97.9,0.2552,1,0,0,0,1,1
TXN0000130,M0367,19.99,upi,web,IN-MH,445,1019,1,7,19.6,0.3921,0,0,0,0,0,0
TXN0000131,M0226,136.67,netbanking,android,IN-MH,1196,1403,2,10,44.5,0.3232,3,0,0,0,0,0
TXN0000132,M0279,128.27,upi,ios,IN-DL,598,70,3,9,76.7,0.3718,0,0,0,0,0,0
TXN0000133,M0330,226.26,upi,android,IN-TN,1672,1294,0,14,146.6,0.3251,1,0,0,0,0,0
TXN0000134,M0321,125.04,card,web,IN-TN,1032,808,2,5,81.0,0.306,2,0,0,0,1,0
TXN0000135,M0273,719.79,card,ios,IN-MH,1417,255,0,4,111.3,0.2566,0,0,0,0,0,1
TXN0000136,M0380,141.27,upi,web,IN-TN,991,306,3,8,42.3,0.1403,2,0,0,0,0,0
TXN0000137,M0056,64.31,upi,ios,IN-DL,350,124,6,9,5.4,0.3564,2,0,0,0,0,0
TXN0000138,M0158,68.51,card,web,IN-DL,1209,1135,3,6,51.1,0.54,0,0,0,0,1,0
TXN0000139,M0219,112.17,card,ios,IN-GJ,1126,510,1,6,70.4,0.1765,2,1,0,0,1,0
TXN0000140,M0179,371.4,upi,web,IN-WB,267,132,2,7,119.4,0.3322,1,0,0,0,0,0
TXN0000141,M0091,445.17,card,api,IN-WB,1723,677,5,9,17.3,0.1822,2,0,0,0,0,0
TXN0000142,M0261,54.09,upi,ios,IN-GJ,157,615,2,5,31.9,0.3026,1,0,0,0,0,0
TXN0000143,M0038,80.87,upi,ios,IN-DL,681,456,1,9,25.0,0.253,4,0,0,0,0,0
TXN0000144,M0388,62.02,card,android,IN-WB,224,28,3,12,74.3,0.4716,2,0,0,0,0,0
TXN0000145,M0204,135.3,card,ios,IN-WB,1377,725,5,14,55.9,0.25,0,0,0,0,0,0
TXN0000146,M0221,471.04,wallet,api,IN-WB,774,1174,4,7,65.4,0.5369,2,0,0,0,1,0
TXN0000147,M0107,213.66,netbanking,web,IN-MH,971,1161,3,8,127.0,0.4366,2,0,0,0,1,0
TXN0000148,M0368,312.03,netbanking,ios,IN-GJ,1620,1182,0,7,38.3,0.1596,2,0,0,0,1,1
TXN0000149,M0221,379.87,upi,android,IN-MH,788,1408,1,6,5.9,0.1932,1,0,0,0,0,1
TXN0000150,M0191,100.1,card,android,IN-TN,890,537,0,5,76.4,0.3296,1,0,0,0,0,0
TXN0000151,M0201,50.0,upi,ios,IN-WB,1026,202,0,9,160.8,0.2627,0,0,0,0,0,0
TXN0000152,M0347,100.04,card,web,IN-GJ,1667,1484,0,4,127.7,0.1906,0,0,0,0,0,0
TXN0000153,M0044,409.25,upi,android,IN-KA,765,238,0,1,76.9,0.1323,0,0,0,0,0,0
TXN0000154,M0197,328.92,upi,ios,IN-GJ,449,1287,2,9,319.2,0.1398,0,0,0,0,0,0
TXN0000155,M0174,194.82,upi,web,IN-KA,573,1174,2,6,42.6,0.3473,1,0,0,0,0,0
TXN0000156,M0176,464.91,card,web,IN-KA,986,1260,4,10,152.9,0.3369,0,0,0,0,1,1
TXN0000157,M0251,208.22,upi,android,IN-WB,1370,377,2,7,99.0,0.226,3,1,0,0,0,1
TXN0000158,M0196,129.17,card,api,IN-WB,1544,793,3,10,142.1,0.2777,0,0,0,0,1,0
TXN0000159,M0248,37.49,upi,api,IN-WB,959,1205,1,9,90.3,0.1365,0,0,0,0,0,0
TXN0000160,M0215,641.79,card,ios,IN-TN,861,1153,3,8,17.9,0.1841,3,0,0,0,0,0
TXN0000161,M0218,163.51,upi,ios,IN-GJ,1682,1186,1,2,158.3,0.1332,0,0,0,0,0,0
TXN0000162,M0087,114.61,netbanking,android,IN-TN,1209,1126,2,6,66.9,0.1746,0,0,0,0,1,0
TXN0000163,M0357,162.44,netbanking,android,IN-GJ,16,785,3,10,76.8,0.3925,1,0,0,0,0,0
TXN0000164,M0127,805.69,card,web,IN-WB,1176,510,0,10,274.8,0.307,0,0,0,0,0,0
TXN0000165,M0255,485.71,card,android,IN-MH,1385,1089,3,11,29.0,0.4689,2,0,0,0,0,1
TXN0000166,M0361,125.58,card,android,IN-WB,1390,83,2,9,24.6,0.3529,5,1,0,0,0,0
TXN0000167,M0176,287.93,upi,android,IN-KA,284,1416,0,5,65.3,0.422,4,0,0,0,0,1
TXN0000168,M0009,614.03,card,web,IN-WB,917,233,0,3,184.9,0.2153,1,0,0,0,0,0
TXN0000169,M0283,254.78,upi,ios,IN-MH,1370,1393,2,7,81.4,0.0469,1,0,0,0,0,0
TXN0000170,M0296,203.1,card,web,IN-TN,1682,574,2,9,102.5,0.3649,1,0,0,0,0,0
TXN0000171,M0060,22.26,upi,android,IN-MH,1566,327,1,5,24.8,0.3044,2,0,0,0,0,0
TXN0000172,M0269,625.6,card,web,IN-UP,1420,1091,1,4,35.3,0.5073,1,0,0,0,0,0
TXN0000173,M0124,64.37,netbanking,android,IN-KA,1411,577,6,12,9.3,0.3643,1,0,0,0,0,0
TXN0000174,M0303,27.72,upi,android,IN-DL,634,1134,5,18,76.5,0.2542,3,0,0,0,0,0
TXN0000175,M0217,29.63,upi,web,IN-GJ,1069,84,1,5,64.7,0.22,0,0,0,0,1,0
TXN0000176,M0305,76.54,upi,ios,IN-UP,63,1435,2,8,53.7,0.4555,1,0,0,0,0,0
TXN0000177,M0350,292.63,upi,api,IN-TN,221,135,3,8,111.8,0.1633,2,0,0,0,0,0
TXN0000178,M0323,574.55,card,web,IN-KA,456,419,0,5,64.4,0.2313,0,0,0,0,0,0
TXN0000179,M0053,253.31,card,ios,IN-TN,1728,1304,1,3,83.7,0.209,0,0,0,0,0,0
TXN0000180,M0161,1020.93,upi,web,IN-TN,447,677,3,9,23.4,0.2813,1,0,0,0,0,0
TXN0000181,M0014,120.28,card,android,IN-UP,588,298,7,12,22.5,0.6483,1,1,0,0,0,1
TXN0000182,M0204,142.72,card,android,IN-GJ,1452,575,2,8,85.2,0.2228,3,0,0,0,1,0
TXN0000183,M0188,27.83,upi,web,IN-DL,51,934,1,3,44.7,0.2515,0,0,0,0,0,0
TXN0000184,M0054,101.21,upi,web,IN-TN,313,483,0,7,127.7,0.4098,1,0,0,0,0,0
TXN0000185,M0012,23.36,card,android,IN-GJ,4,1429,0,7,135.7,0.1721,2,0,0,1,0,0
TXN0000186,M0110,47.05,wallet,web,IN-WB,1078,575,0,4,39.3,0.1646,1,0,0,0,0,0
TXN0000187,M0304,338.01,card,web,IN-GJ,1329,767,0,7,101.8,0.073,1,0,0,0,0,0
TXN0000188,M0267,33.31,card,ios,IN-DL,1674,410,1,2,51.2,0.2585,0,1,0,0,0,0
TXN0000189,M0204,36.77,card,ios,IN-KA,1499,236,1,6,25.9,0.4502,0,0,0,0,0,1
TXN0000190,M0015,31.04,card,android,IN-DL,1307,157,0,8,111.1,0.1983,2,0,0,0,1,0
TXN0000191,M0269,391.24,netbanking,android,IN-MH,1445,291,1,9,57.1,0.534,1,0,0,0,0,0
TXN0000192,M0259,926.91,upi,ios,IN-TN,1655,1309,1,10,34.6,0.2155,1,0,0,0,0,0
TXN0000193,M0211,167.04,wallet,android,IN-DL,1006,1235,1,8,163.2,0.5535,1,0,0,0,0,0
TXN0000194,M0179,462.13,upi,android,IN-KA,228,557,1,10,47.4,0.4103,1,0,0,0,0,0
TXN0000195,M0332,56.2,card,web,IN-GJ,1137,567,2,6,28.5,0.4284,1,0,0,0,0,0
TXN0000196,M0091,615.76,upi,api,IN-WB,561,434,2,4,46.1,0.3735,2,0,0,0,0,0
TXN0000197,M0161,87.99,netbanking,api,IN-TN,1632,858,5,10,118.9,0.2852,3,0,0,0,0,0
TXN0000198,M0248,350.91,card,android,IN-UP,956,260,2,6,84.7,0.3932,4,0,0,0,1,0
TXN0000199,M0193,175.17,upi,android,IN-UP,1194,471,2,12,37.4,0.2926,3,0,0,0,1,0
TXN0000200,M0285,26.44,card,api,IN-TN,928,519,2,10,36.3,0.3906,1,0,0,0,1,0
TXN0000201,M0391,74.28,netbanking,web,IN-GJ,632,65,0,2,137.2,0.0366,0,0,0,0,0,0
TXN0000202,M0339,213.59,card,android,IN-KA,1643,286,1,7,59.7,0.3193,0,0,0,0,0,0
TXN0000203,M0022,28.31,card,android,IN-TN,1710,745,0,4,32.1,0.2844,1,0,0,0,1,0
TXN0000204,M0132,242.14,netbanking,web,IN-MH,1613,1455,3,12,129.3,0.1554,2,0,0,0,0,1
TXN0000205,M0019,43.67,netbanking,android,IN-MH,1738,1342,4,8,143.7,0.3689,2,1,0,0,0,1
TXN0000206,M0250,309.08,card,ios,IN-UP,31,1462,2,10,84.3,0.3737,0,0,0,0,0,0
TXN0000207,M0086,46.17,netbanking,web,IN-TN,1130,1173,0,6,126.7,0.2939,1,0,0,0,0,0
TXN0000208,M0305,280.38,upi,api,IN-GJ,757,708,3,11,78.5,0.4393,2,0,0,0,1,0
TXN0000209,M0231,407.31,card,web,IN-KA,1019,689,2,12,90.0,0.4381,1,0,0,0,0,1
TXN0000210,M0063,152.15,upi,ios,IN-MH,816,373,1,7,83.8,0.3774,2,0,0,0,0,0
TXN0000211,M0097,166.14,netbanking,android,IN-GJ,1686,808,3,8,39.9,0.4151,1,0,0,0,0,0
TXN0000212,M0298,795.13,card,android,IN-UP,1474,1466,1,8,33.0,0.4046,1,0,0,0,1,0
TXN0000213,M0026,82.25,upi,ios,IN-MH,1400,1124,3,10,198.4,0.4252,4,0,0,0,1,0
TXN0000214,M0166,105.5,upi,web,IN-MH,1184,1422,1,12,36.8,0.6242,2,0,0,0,0,0
TXN0000215,M0005,341.59,upi,android,IN-GJ,214,435,0,5,27.2,0.2251,1,0,0,0,0,0
TXN0000216,M0315,274.59,card,ios,IN-DL,324,932,4,14,16.5,0.4152,2,0,0,0,0,0
TXN0000217,M0010,141.19,wallet,android,IN-MH,1724,1189,1,4,80.0,0.0983,1,0,0,0,0,0
TXN0000218,M0022,53.41,card,ios,IN-KA,80,1148,0,5,23.0,0.2144,1,0,0,0,0,0
TXN0000219,M0135,476.56,upi,ios,IN-GJ,1304,482,5,9,57.5,0.1348,2,0,0,0,0,0
TXN0000220,M0278,52.18,card,android,IN-WB,1052,1159,3,10,64.9,0.3753,1,0,0,0,1,0
TXN0000221,M0342,1756.65,card,web,IN-WB,1330,729,3,10,34.9,0.1701,0,0,0,0,0,0
TXN0000222,M0294,54.46,card,web,IN-WB,1780,293,0,6,139.3,0.4164,3,0,0,0,1,0
TXN0000223,M0154,59.6,card,android,IN-WB,722,982,3,8,180.7,0.0809,0,0,0,0,0,0
TXN0000224,M0032,253.33,card,web,IN-WB,1064,701,1,3,54.7,0.3758,0,0,0,0,0,0
TXN0000225,M0180,311.71,upi,android,IN-WB,16,596,1,6,36.7,0.4301,1,0,0,0,0,0
TXN0000226,M0002,67.97,upi,web,IN-WB,630,1183,1,4,81.4,0.2762,1,0,0,0,0,0
TXN0000227,M0386,977.88,card,ios,IN-MH,489,635,2,6,26.9,0.1456,1,0,0,0,0,0
TXN0000228,M0384,250.31,upi,ios,IN-DL,1482,138,4,13,164.2,0.3842,1,0,0,0,1,1
TXN0000229,M0185,140.48,upi,web,IN-WB,596,980,1,6,65.4,0.1472,2,0,0,0,0,0
TXN0000230,M0191,264.8,card,web,IN-TN,549,1409,3,8,19.4,0.3371,1,0,0,0,0,0
TXN0000231,M0223,604.04,card,android,IN-DL,821,1292,3,8,13.6,0.3591,1,0,0,0,0,1
TXN0000232,M0208,899.81,upi,android,IN-UP,1045,847,1,11,54.8,0.3749,0,0,0,0,1,0
TXN0000233,M0032,218.29,upi,api,IN-MH,1262,622,1,5,101.2,0.2464,0,0,0,0,0,0
TXN0000234,M0068,50.34,upi,android,IN-DL,1750,610,2,9,39.9,0.3394,1,0,0,0,1,0
TXN0000235,M0143,51.13,netbanking,android,IN-DL,811,747,6,12,42.5,0.4067,0,0,0,0,0,0
TXN0000236,M0094,43.73,upi,web,IN-UP,1098,1242,2,11,24.3,0.2882,3,0,0,0,0,0
TXN0000237,M0138,94.68,card,android,IN-UP,670,577,4,6,106.7,0.4316,2,0,0,0,1,0
TXN0000238,M0279,186.93,upi,ios,IN-GJ,1059,235,3,10,58.1,0.4017,1,0,0,0,0,0
TXN0000239,M0089,222.94,card,android,IN-DL,447,264,0,9,28.7,0.0602,0,0,0,0,0,0
TXN0000240,M0303,555.37,upi,web,IN-TN,431,1497,1,4,61.6,0.3157,1,0,0,0,0,0
TXN0000241,M0396,22.64,card,android,IN-GJ,1383,1379,0,2,65.7,0.1451,3,0,0,0,0,0
TXN0000242,M0342,178.07,card,web,IN-DL,1203,1373,5,14,62.8,0.1952,0,0,0,0,0,1
TXN0000243,M0226,285.36,card,ios,IN-WB,1417,1433,2,6,48.4,0.3515,0,0,0,0,0,0
TXN0000244,M0059,10.86,upi,android,IN-GJ,1303,1330,4,13,65.6,0.1593,0,0,0,0,1,0
TXN0000245,M0178,283.3,card,ios,IN-DL,654,1496,7,10,53.6,0.2258,1,0,0,0,0,0
